task_id,episode_idx,global_episode,task,video
0,10,11,put_both_the_alphabet_soup_and_the_tomat,2026_05_25-11_45_29--episode=11--success=False--task=put_both_the_alphabet_soup_and_the_tomat.mp4
0,36,37,put_both_the_alphabet_soup_and_the_tomat,2026_05_25-11_45_29--episode=37--success=False--task=put_both_the_alphabet_soup_and_the_tomat.mp4
1,46,97,put_both_the_cream_cheese_box_and_the_bu,2026_05_25-11_45_29--episode=97--success=False--task=put_both_the_cream_cheese_box_and_the_bu.mp4
3,4,155,put_the_black_bowl_in_the_bottom_drawer_,2026_05_25-11_45_29--episode=155--success=False--task=put_the_black_bowl_in_the_bottom_drawer_.mp4
3,10,161,put_the_black_bowl_in_the_bottom_drawer_,2026_05_25-11_45_29--episode=161--success=False--task=put_the_black_bowl_in_the_bottom_drawer_.mp4
3,13,164,put_the_black_bowl_in_the_bottom_drawer_,2026_05_25-11_45_29--episode=164--success=False--task=put_the_black_bowl_in_the_bottom_drawer_.mp4
3,20,171,put_the_black_bowl_in_the_bottom_drawer_,2026_05_25-11_45_29--episode=171--success=False--task=put_the_black_bowl_in_the_bottom_drawer_.mp4
3,41,192,put_the_black_bowl_in_the_bottom_drawer_,2026_05_25-11_45_29--episode=192--success=False--task=put_the_black_bowl_in_the_bottom_drawer_.mp4
4,9,210,put_the_white_mug_on_the_left_plate_and_,2026_05_25-11_45_29--episode=210--success=False--task=put_the_white_mug_on_the_left_plate_and_.mp4
6,13,314,put_the_white_mug_on_the_plate_and_put_t,2026_05_25-11_45_29--episode=314--success=False--task=put_the_white_mug_on_the_plate_and_put_t.mp4
6,27,328,put_the_white_mug_on_the_plate_and_put_t,2026_05_25-11_45_29--episode=328--success=False--task=put_the_white_mug_on_the_plate_and_put_t.mp4
6,37,338,put_the_white_mug_on_the_plate_and_put_t,2026_05_25-11_45_29--episode=338--success=False--task=put_the_white_mug_on_the_plate_and_put_t.mp4
8,12,413,put_both_moka_pots_on_the_stove,2026_05_25-11_45_29--episode=413--success=False--task=put_both_moka_pots_on_the_stove.mp4
8,42,443,put_both_moka_pots_on_the_stove,2026_05_25-11_45_29--episode=443--success=False--task=put_both_moka_pots_on_the_stove.mp4
8,43,444,put_both_moka_pots_on_the_stove,2026_05_25-11_45_29--episode=444--success=False--task=put_both_moka_pots_on_the_stove.mp4
9,11,462,put_the_yellow_and_white_mug_in_the_micr,2026_05_25-11_45_29--episode=462--success=False--task=put_the_yellow_and_white_mug_in_the_micr.mp4
9,42,493,put_the_yellow_and_white_mug_in_the_micr,2026_05_25-11_45_29--episode=493--success=False--task=put_the_yellow_and_white_mug_in_the_micr.mp4
